#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
robmodcombat_balanced;Balanced war strategy;Stratégie de guerre équilibrée;Ausgewogene Kriegsstrategie;;Estrategia equilibrada de guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_balanced_desc;This character has opted for a balanced war strategy, conferring no benefits or penalties.;Ce personnage a opté pour une stratégie de guerre équilibrée, ne conférant aucun avantage ni pénalité.;Dieser Charakter hat sich für eine ausgewogene Kriegsstrategie entschieden, die keine Vorteile oder Strafen verleiht.;;Este personaje ha optado por una estrategia de guerra equilibrada, que no otorga beneficios ni sanciones.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attack;Assault war strategy;Stratégie de guerre d'assaut;Angriffskriegsstrategie;;Estrategia de guerra de asalto;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attack_desc;The artillery is readied, the garrisons left lightly armoured, and the men have been outfitted with heavy weaponry and drilled in the charge. This character clearly means to attack their opponents head on.;Les hommes ont été équipés d'armes lourdes, favorisant les cuirasses et les faunes sur l'armure arrière, et les moteurs de siège sont préparés. Ce personnage signifie clairement attaquer leurs adversaires en tête.;Die Männer sind mit schweren Waffen ausgestattet, begünstigen Kürassiere und Fappen über die Rückenpanzerung, und die Belagerungsmotoren sind vorbereitet. Dieser Charakter bedeutet eindeutig, um ihre Gegner anzugreifen.;;Los hombres han sido equipados con armamento pesado, favoreciendo las corazas y faulds sobre la armadura trasera, y los motores del asedio se preparan. Este personaje claramente significa atacar a sus oponentes de frente.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_defend;Defend war strategy;Stratégie de guerre défensive;Defensive Kriegsstrategie;;Estrategia de guerra defensiva;;;;;;;;;x;,,,,,,,,,,
robmodcombat_defend_desc;This character has called for trenches to be built, holdfasts to be made strong and men to stand fast. The enemy are most unwelcome on their land.;Ce personnage a ordonné que les holdfasts soient forts, que l'armure soit forgée d'épaisseur et que les hommes se tiennent debout. Les ennemis sont les plus indésirables sur leurs terres.;Dieser Charakter hat befohlen, dass die Festhalten stark gemacht werden, die Rüstung, um dick zu werden und die Männer schnell zu stehen. Der Feind ist auf ihrem Land am meisten unerwünscht.;;Este personaje ha ordenado que se hagan fuertes, que las armaduras sean forjadas y que los hombres se mantengan firmes. El enemigo no es bienvenido en su tierra.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_quick;Storm war strategy;Stratégie de guerre des tempêtes;Sturmkriegstrategie;;Estrategia de guerra de tormenta;;;;;;;;;x;,,,,,,,,,,
robmodcombat_quick_desc;Soldiers travel light and the quartermasters stock few provisions, but this is no enforced shortage. The men are equipped and drilled for one purpose: to stike deep into enemy heartlands in one crushing blow.;Les Warriors voyagent de la lumière et les quartermasters stockent peu de provisions, mais ce n'est pas une pénurie forcée. Les hommes sont équipés et forés dans un seul but: incliner profondément dans les champs de l'ennemi en un seul coup écrasant.;Krieger reisen Licht und die Quartiermeister haben nur wenige Bestimmungen, aber das ist kein erzwungener Mangel. Die Männer sind ausgerüstet und gebohrt für einen Zweck: tief in feindliche Herzfälle in einem zerquetschenden Schlag zu treten.;;Los guerreros viajan ligeros y los quartermasters almacenan pocas provisiones, pero esto no es una escasez forzada. Los hombres están equipados y perforados para un propósito: penetrar profundamente en las tierras enemigas en un golpe aplastante.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attrition;Organised war strategy;Stratégie de guerre organisée;Organisierte Kriegsstrategie;;Estrategia de guerra organizada;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attrition_desc;This character has focussed their war efforts on supply logistics and siege readiness, in preparation for a war of attrition.;Ce personnage a concentré ses efforts de guerre sur la logistique de l'approvisionnement et la préparation au siège, en prévision d'une guerre d'attrition.;Dieser Charakter hat sich auf die Kriegsbemühungen auf die Angebotslogistik und die Belagerungsbereitschaft konzentriert, um einen Abrisskrieg vorzubereiten.;;Este personaje ha centrado sus esfuerzos de guerra en la logística de suministro y la preparación para el asedio, en preparación para una guerra de desgaste.;;;;;;;;;x;,,,,,,,,,,
### DECISIONS ###
robmodcombat_battlefield_position_first;Select your battlefield position;Sélectionnez votre position de champ de bataille;Wähle deine Schlachtfeldposition;;Seleccione su campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_first_desc;Although all rulers are expected to put their lives at risk by fighting with their men, there are many different positions one can take on the battlefield. Each holds different levels of risk and prestige.;Bien que tous les dirigeants puissent mettre leur vie en danger en se battant avec leurs hommes, il existe de nombreuses positions différentes sur le champ de bataille. Chacun détient différents niveaux de risque et de prestige.;Obwohl alle Herrscher erwartet werden, ihr Leben in Gefahr zu setzen, indem sie mit ihren Männern kämpfen, gibt es viele verschiedene Positionen, die man auf dem Schlachtfeld nehmen kann. Jeder hält unterschiedliche Risiko und Prestige.;;Aunque se espera que todos los gobernantes pongan en peligro sus vidas luchando con sus hombres, hay muchas posiciones diferentes que uno puede tomar en el campo de batalla. Cada uno tiene diferentes niveles de riesgo y prestigio.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_position_cooldown_tt;Has not been forced to change battlefield position in the last 5 years;N'a pas été contraint de changer la position du champ de bataille au cours des 5 dernières années.;In den letzten 5 Jahren ist es nicht gezwungen worden, die Schlachtfeldposition zu ändern.;;No se ha visto obligado a cambiar de posición en el campo de batalla en los últimos 5 años.;;;;;;;;;x;,,,,,,,,,,
set_battlefield_position_tt;Call in your commanders and notify them as to what position you will be taking up on the battlefield;Appelez vos commandants et informez-les de la position que vous occuperez sur le champ de bataille;Rufen Sie Ihre Kommandanten an und benachrichtigen Sie, welche Position Sie auf dem Schlachtfeld nehmen werden;;Llame a sus comandantes y notifíqueles en cuanto a qué posición usted tomará en el campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_change;Change your battlefield position;Changez votre position de champ de bataille;Ändern Sie Ihre Schlachtfeldposition;;Cambia tu posición en el campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_change_desc;You may change your position on the battlefield any time you are at war. Useful if for any reason you want to protect yourself from harm, or conversely improve your chances of gaining glory on the battlefield.;Vous pouvez changer votre position sur le champ de bataille à tout moment. Utile si, pour quelque raison que ce soit, vous voulez vous protéger du mal ou, à l'inverse, améliorer vos chances de gagner la gloire sur le champ de bataille.;Sie können jederzeit Ihre Position auf dem Schlachtfeld ändern. Nützlich, wenn aus irgendeinem Grund du dich vor Schaden schützen willst, oder umgekehrt deine Chancen auf den Ruhm auf dem Schlachtfeld zu verbessern.;;Usted puede cambiar su posición en el campo de batalla en cualquier momento. Útil si por cualquier razón usted quiere protegerse de daño, o por el contrario mejorar sus posibilidades de ganar gloria en el campo de batalla.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy;Set your war strategy;Définissez votre stratégie de guerre;Setze deine Kriegsstrategie ein;;Defina su estrategia de guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_desc;Defining your war strategy outfits your troops and other military apparatus to best suit your current situation. The various options will confer certain benefits to your armies, but each also has drawbacks.;Vous pouvez changer votre stratégie de guerre pour mieux répondre à votre situation actuelle. Les différentes options conféreront certains avantages à vos armées, mais elles présentent également des inconvénients.;Sie können Ihre Kriegsstrategie ändern, um Ihrer aktuellen Situation am besten zu entsprechen. Die verschiedenen Optionen verleihen Ihren Armeen gewisse Vorteile, aber jeder hat auch Nachteile.;;Puede cambiar su estrategia de guerra para que se adapte mejor a su situación actual. Las diversas opciones confieren ciertos beneficios a sus ejércitos, pero cada uno también tiene inconvenientes.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_cooldown_tt;Has NOT changed war stategy in the last year;N'a PAS changé la stratégie de guerre au cours de la dernière année;Hat im letzten Jahr die Kriegsstrategie nicht geändert;;NO ha cambiado la estrategia de guerra en el último año;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_liege_tt;Has NOT had your current war strategy set by your liege;N'a PAS eu votre stratégie de guerre fixée par votre liege;Hatte NICHT Ihre Kriegsstrategie von deinem Lied gesetzt;;NO ha tenido su estrategia de guerra establecida por su señor;;;;;;;;;x;,,,,,,,,,,
set_war_strategy_tt;Call in your commanders to discuss the war strategy;Appelez vos commandants pour discuter de la stratégie de guerre;Rufen Sie in Ihren Kommandanten auf, um die Kriegsstrategie zu besprechen;;Llame a sus comandantes para discutir la estrategia de guerra;;;;;;;;;x;,,,,,,,,,,
### NICKNAMES ###
nick_the_warrior;the Warrior;le Guerrier;der Krieger;;el Guerrero;;;;;x
nick_swordarm;Sword-Arm;Bras à l'Épée;Schwertarm;;Brazo de Espada;;;;;x
nick_weakarm;Weak-Arm;Bras Faible;Schwacharm;;Brazo Débil;;;;;x
nick_the_leader;War-Leader;Chef de Guerre;Kriegsführer;;Líder de Guerra;;;;;x
nick_the_afraid;the Coward;le Lâche;der Feigling;;el cobarde;;;;;x
nick_the_timid;the Timid;le Timide;die Schüchterne;;el Tímido;;;;;x
### MODIFIERS ###
# CHARACTER #
robmodcombat_inspired_men;Inspirational charge;Charge inspiratoire;Inspirationsgebühr;;Carga inspiradora;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_10013_WON_IN;A lull descends on the battlefield as your sword meets [FromFrom.GetFirstName]'s and those nearby fighting stop to watch. The fighting is fierce, and for a while you are even, both trading blows and holding your ground. But spotting a weakness in your opponent's defence, you lunge expertly. [FromFrom.GetFirstName] is caught offguard and retreats, but you press your advantage mercilessly. With your men cheering, you disarm your opponent. "I yield, [Root.GetTitledFirstName]!";Une accalmie descend sur le champ de bataille au fur et à mesure que votre épée rencontre [FromFrom.GetFirstName] et les arrêts de combat à proximité pour regarder. Les combats sont féroces, et pendant un certain temps, vous êtes même, tous deux des coups de commerce et le maintien de votre terrain. Mais voyant une faiblesse dans la défense de votre adversaire, vous vous léchez habilement. Pris hors de garde, votre adversaire se retire, mais vous appuyez votre avantage sans pitié. Avec l'applaudissement de la foule dans vos oreilles, vous désarmez votre adversaire, qui cède à vos compétences supérieures.;Eine Schlampe steigt auf dem Schlachtfeld, als dein Schwert trifft [FromFrom.GetFirstName] 's und die in der Nähe kämpfen stoppen zu beobachten. Die Kämpfe sind heftig, und für eine Weile sind Sie sogar, beide handeln Schläge und halten Sie Ihren Boden. Aber eine Schwäche in der Verteidigung deines Gegners, du kommst fachmännisch. Gefangen weg, dein Gegner zieht sich zurück, aber du drückst deinen Vorteil gnadenlos. Mit dem Jubel der Menge in deinen Ohren, du entwaffst deinen Gegner, der deinen überlegenen Fähigkeiten nachgibt.;;Una lula desciende en el campo de batalla como su espada se encuentra con [FromFrom.GetFirstName] y los que están cerca de la lucha para detenerse a ver. La pelea es feroz, y durante un tiempo estás en equilibrio, tanto por los golpes comerciales como por mantener tu terreno. Pero descubriendo una debilidad en la defensa de tu oponente, te aventajas con habilidad. Atrincherado, tu oponente se retira, pero presionas tu ventaja sin piedad. Con los aplausos de la multitud en tus oídos, desarmas a tu oponente, que se rinde a tus habilidades superiores.;;;;;;;;;x
EVTDESC_ROBMODCOMBAT_10013_WOUND_IN;A lull descends on the battlefield as your sword meets [FromFrom.GetFirstName]'s and those nearby fighting stop to watch. The fighting is fierce, and for a while you are even, both trading blows and holding your ground. But spotting a weakness in your opponent's defence, you lunge expertly. [FromFrom.GetFirstName] is caught offguard, and you are rewarded with the unmistakable feel of steel meeting flesh. Wounded badly, [FromFrom.GetSheHe] yields as your men erupt into deafening cheers.;Une accalmie descend sur le champ de bataille au fur et à mesure que votre épée rencontre [FromFrom.GetFirstName] et les arrêts de combat à proximité pour regarder. Les combats sont féroces, et pendant un certain temps, vous êtes même, tous deux des coups de commerce et le maintien de votre terrain. Mais voyant une faiblesse dans la défense de votre adversaire, vous vous léchez habilement. Pris au dépourvu, vous êtes récompensé par la sensation incontournable de l'acier qui rencontre la chair. Blessé mal, votre adversaire se produit alors que la foule chante votre nom.;Eine Schlampe steigt auf dem Schlachtfeld, als dein Schwert trifft [FromFrom.GetFirstName] 's und die in der Nähe kämpfen stoppen zu beobachten. Die Kämpfe sind heftig, und für eine Weile sind Sie sogar, beide handeln Schläge und halten Sie Ihren Boden. Aber eine Schwäche in der Verteidigung deines Gegners, du kommst fachmännisch. Gefangen aus der Hut, werden Sie mit dem unverwechselbaren Gefühl von Stahl-Treffen Fleisch belohnt. Verwundet schlecht, dein Gegner liefert, wie die Menge deinen Namen singt.;;Una lula desciende en el campo de batalla como su espada se encuentra con [FromFrom.GetFirstName] y los que están cerca de la lucha para detenerse a ver. La pelea es feroz, y durante un tiempo estás en equilibrio, tanto por los golpes comerciales como por mantener tu terreno. Pero descubriendo una debilidad en la defensa de tu oponente, te aventajas con habilidad. Atrapado de la guardia, usted es recompensado con la sensación inconfundible de acero reunión carne. Herido mal, tu oponente se rinde mientras la multitud canta tu nombre.;;;;;;;;;x
EVTDESC_ROBMODCOMBAT_10013_MAIM_IN;A lull descends on the battlefield as your sword meets [FromFrom.GetFirstName]'s and those nearby fighting stop to watch. The fighting is fierce, and for a while you are even, both trading blows and holding your ground. But spotting a weakness in your opponent's defence, you lunge and [FromFrom.GetFirstName] suffers heinous injury. The fight is over, and you wipe clean your blade to the sound of your men cheering lustily.;Une accalmie descend sur le champ de bataille au fur et à mesure que votre épée rencontre [FromFrom.GetFirstName] et les arrêts de combat à proximité pour regarder. Les combats sont féroces, et pendant un certain temps, vous êtes même, tous deux des coups de commerce et le maintien de votre terrain. Mais voyant une faiblesse dans la défense de votre adversaire, vous vous léchez habilement. Bien que vous ne vouliez pas, vos serveurs piratent la main de votre adversaire complètement! La bagarre est terminée, et vous essuyez votre arme pour sonner la foule en chantant votre nom.;Eine Schlampe steigt auf dem Schlachtfeld, als dein Schwert trifft [FromFrom.GetFirstName] 's und die in der Nähe kämpfen stoppen zu beobachten. Die Kämpfe sind heftig, und für eine Weile sind Sie sogar, beide handeln Schläge und halten Sie Ihren Boden. Aber eine Schwäche in der Verteidigung deines Gegners, du kommst fachmännisch. Obwohl du es nicht anstrebst, hast deine Hacker die Hand deines Gegners vollständig! Der Kampf ist vorbei, und Sie wischen sauber Ihre Klinge, um von der Menge zu klingen, die Ihren Namen singt.;;Una lula desciende en el campo de batalla como su espada se encuentra con [FromFrom.GetFirstName] y los que están cerca de la lucha para detenerse a ver. La pelea es feroz, y durante un tiempo estás en equilibrio, tanto por los golpes comerciales como por mantener tu terreno. Pero descubriendo una debilidad en la defensa de tu oponente, te aventajas con habilidad. A pesar de que no estaban apuntando a, los servidores de hackear la mano de su oponente completamente! La pelea ha terminado, y limpias tu hoja con el sonido de la multitud cantando tu nombre.;;;;;;;;;x
EVTDESC_ROBMODCOMBAT_10013_KILL_IN;A lull descends on the battlefield as your sword meets [FromFrom.GetFirstName]'s and those nearby fighting stop to watch. The fighting is fierce, and for a while you are even, both trading blows and holding your ground. But spotting a weakness in your opponent's defence, you lunge expertly. [FromFrom.GetFirstName] is caught offguard, you are rewarded with the unmistakable feel of steel meeting soft flesh. [FromFrom.GetFirstName] is killed instantly, and your men cheer your victory.;Une accalmie descend sur le champ de bataille au fur et à mesure que votre épée rencontre [FromFrom.GetFirstName] et les arrêts de combat à proximité pour regarder. Les combats sont féroces, et pendant un certain temps, vous êtes même, tous deux des coups de commerce et le maintien de votre terrain. Mais voyant une faiblesse dans la défense de votre adversaire, vous vous léchez habilement. Pris au dépourvu, vous êtes récompensé par la sensation incontournable de l'acier qui rencontre la chair. Blessé mal, votre adversaire se produit alors que la foule chante votre nom.;Eine Schlampe steigt auf dem Schlachtfeld, als dein Schwert trifft [FromFrom.GetFirstName] 's und die in der Nähe kämpfen stoppen zu beobachten. Die Kämpfe sind heftig, und für eine Weile sind Sie sogar, beide handeln Schläge und halten Sie Ihren Boden. Aber eine Schwäche in der Verteidigung deines Gegners, du kommst fachmännisch. Gefangen aus der Hut, werden Sie mit dem unverwechselbaren Gefühl von Stahl-Treffen Fleisch belohnt. Verwundet schlecht, dein Gegner liefert, wie die Menge deinen Namen singt.;;Una lula desciende en el campo de batalla como su espada se encuentra con [FromFrom.GetFirstName] y los que están cerca de la lucha para detenerse a ver. La pelea es feroz, y durante un tiempo estás en equilibrio, tanto por los golpes comerciales como por mantener tu terreno. Pero descubriendo una debilidad en la defensa de tu oponente, te aventajas con habilidad. Atrapado de la guardia, usted es recompensado con la sensación inconfundible de acero reunión carne. Herido mal, tu oponente se rinde mientras la multitud canta tu nombre.;;;;;;;;;x
EVTDESC_ROBMODCOMBAT_10013_WON_OP;A lull descends on the battlefield as your sword meets [From.GetFirstName]'s and those nearby fighting stop to watch. The fighting is fierce, and for a while you are even, both trading blows and holding your ground. But spotting a weakness in your opponent's defence, you lunge expertly. [From.GetFirstName] is caught offguard and retreats, but you press your advantage mercilessly. With your men cheering, you disarm your opponent. "I yield, [Root.GetTitledFirstName]!";Une accalmie descend sur le champ de bataille au fur et à mesure que votre épée rencontre [From.GetFirstName] et les arrêts de combat à proximité pour regarder. Les combats sont féroces, et pendant un certain temps, vous êtes même, tous deux des coups de commerce et le maintien de votre terrain. Mais voyant une faiblesse dans la défense de votre adversaire, vous vous léchez habilement. Pris hors de garde, votre adversaire se retire, mais vous appuyez votre avantage sans pitié. Avec l'applaudissement de la foule dans vos oreilles, vous désarmez votre adversaire, qui cède à vos compétences supérieures.;Eine Schlampe steigt auf dem Schlachtfeld, als dein Schwert trifft [From.GetFirstName] 's und die in der Nähe kämpfen stoppen zu beobachten. Die Kämpfe sind heftig, und für eine Weile sind Sie sogar, beide handeln Schläge und halten Sie Ihren Boden. Aber eine Schwäche in der Verteidigung deines Gegners, du kommst fachmännisch. Gefangen weg, dein Gegner zieht sich zurück, aber du drückst deinen Vorteil gnadenlos. Mit dem Jubel der Menge in deinen Ohren, du entwaffst deinen Gegner, der deinen überlegenen Fähigkeiten nachgibt.;;Una lula desciende en el campo de batalla como su espada se encuentra con [From.GetFirstName] y los que están cerca de la lucha para detenerse a ver. La pelea es feroz, y durante un tiempo estás en equilibrio, tanto por los golpes comerciales como por mantener tu terreno. Pero descubriendo una debilidad en la defensa de tu oponente, te aventajas con habilidad. Atrincherado, tu oponente se retira, pero presionas tu ventaja sin piedad. Con los aplausos de la multitud en tus oídos, desarmas a tu oponente, que se rinde a tus habilidades superiores.;;;;;;;;;x
EVTDESC_ROBMODCOMBAT_10013_WOUND_OP;A lull descends on the battlefield as your sword meets [From.GetFirstName]'s and those nearby fighting stop to watch. The fighting is fierce, and for a while you are even, both trading blows and holding your ground. But spotting a weakness in your opponent's defence, you lunge expertly. [From.GetFirstName] is caught offguard, and you are rewarded with the unmistakable feel of steel meeting flesh. Wounded badly, [From.GetSheHe] yields as your men erupt into deafening cheers.;Une accalmie descend sur le champ de bataille au fur et à mesure que votre épée rencontre [From.GetFirstName] et les arrêts de combat à proximité pour regarder. Les combats sont féroces, et pendant un certain temps, vous êtes même, tous deux des coups de commerce et le maintien de votre terrain. Mais voyant une faiblesse dans la défense de votre adversaire, vous vous léchez habilement. Pris au dépourvu, vous êtes récompensé par la sensation incontournable de l'acier qui rencontre la chair. Blessé mal, votre adversaire se produit alors que la foule chante votre nom.;Eine Schlampe steigt auf dem Schlachtfeld, als dein Schwert trifft [From.GetFirstName] 's und die in der Nähe kämpfen stoppen zu beobachten. Die Kämpfe sind heftig, und für eine Weile sind Sie sogar, beide handeln Schläge und halten Sie Ihren Boden. Aber eine Schwäche in der Verteidigung deines Gegners, du kommst fachmännisch. Gefangen aus der Hut, werden Sie mit dem unverwechselbaren Gefühl von Stahl-Treffen Fleisch belohnt. Verwundet schlecht, dein Gegner liefert, wie die Menge deinen Namen singt.;;Una lula desciende en el campo de batalla como su espada se encuentra con [From.GetFirstName] y los que están cerca de la lucha para detenerse a ver. La pelea es feroz, y durante un tiempo estás en equilibrio, tanto por los golpes comerciales como por mantener tu terreno. Pero descubriendo una debilidad en la defensa de tu oponente, te aventajas con habilidad. Atrapado de la guardia, usted es recompensado con la sensación inconfundible de acero reunión carne. Herido mal, tu oponente se rinde mientras la multitud canta tu nombre.;;;;;;;;;x
EVTDESC_ROBMODCOMBAT_10013_MAIM_OP;A lull descends on the battlefield as your sword meets [From.GetFirstName]'s and those nearby fighting stop to watch. The fighting is fierce, and for a while you are even, both trading blows and holding your ground. But spotting a weakness in your opponent's defence, you lunge and [From.GetFirstName] suffers heinous injury. The fight is over, and you wipe clean your blade to the sound of your men cheering lustily.;Une accalmie descend sur le champ de bataille au fur et à mesure que votre épée rencontre [From.GetFirstName] et les arrêts de combat à proximité pour regarder. Les combats sont féroces, et pendant un certain temps, vous êtes même, tous deux des coups de commerce et le maintien de votre terrain. Mais voyant une faiblesse dans la défense de votre adversaire, vous vous léchez habilement. Bien que vous ne vouliez pas, vos serveurs piratent la main de votre adversaire complètement! La bagarre est terminée, et vous essuyez votre arme pour sonner la foule en chantant votre nom.;Eine Schlampe steigt auf dem Schlachtfeld, als dein Schwert trifft [From.GetFirstName] 's und die in der Nähe kämpfen stoppen zu beobachten. Die Kämpfe sind heftig, und für eine Weile sind Sie sogar, beide handeln Schläge und halten Sie Ihren Boden. Aber eine Schwäche in der Verteidigung deines Gegners, du kommst fachmännisch. Obwohl du es nicht anstrebst, hast deine Hacker die Hand deines Gegners vollständig! Der Kampf ist vorbei, und Sie wischen sauber Ihre Klinge, um von der Menge zu klingen, die Ihren Namen singt.;;Una lula desciende en el campo de batalla como su espada se encuentra con [From.GetFirstName] y los que están cerca de la lucha para detenerse a ver. La pelea es feroz, y durante un tiempo estás en equilibrio, tanto por los golpes comerciales como por mantener tu terreno. Pero descubriendo una debilidad en la defensa de tu oponente, te aventajas con habilidad. A pesar de que no estaban apuntando a, los servidores de hackear la mano de su oponente completamente! La pelea ha terminado, y limpias tu hoja con el sonido de la multitud cantando tu nombre.;;;;;;;;;x
EVTDESC_ROBMODCOMBAT_10013_KILL_OP;A lull descends on the battlefield as your sword meets [From.GetFirstName]'s and those nearby fighting stop to watch. The fighting is fierce, and for a while you are even, both trading blows and holding your ground. But spotting a weakness in your opponent's defence, you lunge expertly. [From.GetFirstName] is caught offguard, and you are rewarded with the unmistakable feel of steel meeting soft flesh. [From.GetFirstName] is killed instantly as your men erupt in deafening cheers.;Une accalmie descend sur le champ de bataille au fur et à mesure que votre épée rencontre [From.GetFirstName] et les arrêts de combat à proximité pour regarder. Les combats sont féroces, et pendant un certain temps, vous êtes même, tous deux des coups de commerce et le maintien de votre terrain. Mais voyant une faiblesse dans la défense de votre adversaire, vous vous léchez habilement. Pris au dépourvu, vous êtes récompensé par la sensation incontournable de l'acier qui rencontre la chair. Blessé mal, votre adversaire se produit alors que la foule chante votre nom.;Eine Schlampe steigt auf dem Schlachtfeld, als dein Schwert trifft [From.GetFirstName] 's und die in der Nähe kämpfen stoppen zu beobachten. Die Kämpfe sind heftig, und für eine Weile sind Sie sogar, beide handeln Schläge und halten Sie Ihren Boden. Aber eine Schwäche in der Verteidigung deines Gegners, du kommst fachmännisch. Gefangen aus der Hut, werden Sie mit dem unverwechselbaren Gefühl von Stahl-Treffen Fleisch belohnt. Verwundet schlecht, dein Gegner liefert, wie die Menge deinen Namen singt.;;Una lula desciende en el campo de batalla como su espada se encuentra con [From.GetFirstName] y los que están cerca de la lucha para detenerse a ver. La pelea es feroz, y durante un tiempo estás en equilibrio, tanto por los golpes comerciales como por mantener tu terreno. Pero descubriendo una debilidad en la defensa de tu oponente, te aventajas con habilidad. Atrapado de la guardia, usted es recompensado con la sensación inconfundible de acero reunión carne. Herido mal, tu oponente se rinde mientras la multitud canta tu nombre.;;;;;;;;;x
EVTOPTA_ROBMODCOMBAT_10013_IN;"Take [FromFrom.GetTitledFirstName] to the prisoners' cells.";"Prenez [FromFrom.GetTitledFirstName] aux cellules des prisonniers".;"Nimm [FromFrom.GetTitledFirstName] zu den Gefangenenzellen.";;"Toma [FromFrom.GetTitledFirstName] a las celdas de los prisioneros".;;;;;;;;;x
EVTOPTA_ROBMODCOMBAT_10013_OP;"Take [From.GetTitledFirstName] to the prisoners' cells.";"Prenez [From.GetTitledFirstName] aux cellules des prisonniers".;"Nimm [From.GetTitledFirstName] zu den Gefangenenzellen.";;"Toma [From.GetTitledFirstName] a las celdas de los prisioneros".;;;;;;;;;x
EVTOPTD_ROBMODCOMBAT_10013;A worthy opponent. Now back to the battle!;Un adversaire digne. Retour à la bataille!;Ein würdiger Gegner. Jetzt zurück zum Kampf!;;Un digno oponente. Ahora de vuelta a la batalla!;;;;;;;;;x
EVTTOOLTIPD_ROBMODCOMBAT_10013;[From.GetTitledFirstName] dies!;[From.GetTitledFirstName] décède!;[From.GetTitledFirstName] stirbt!;;[From.GetTitledFirstName] muere!;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_10014_LOST;A lull descends on the battlefield as your sword meets [From.GetFirstName]'s and those nearby fighting stop to watch. The fighting is fierce, and for a while you are even, both trading blows and holding your ground. But spotting a weakness in your defence, your opponent lunges expertly. Caught offguard, you retreat but are pressed mercilessly. With the jeering of [From.GetFirstName]'s men in your ears, your opponent disarms you easily. "I yield!" you cry.;Une accalmie descend sur le champ de bataille à mesure que votre épée rencontre [From.GetFirstName] et les arrêts de combat à proximité pour regarder. Les combats sont féroces, et pendant un certain temps, vous êtes même, tous deux des coups de commerce et le maintien de votre terrain. Mais voyant une faiblesse dans votre défense, votre adversaire s'habille avec compétence. Coupé, vous vous retirez, mais vous appuyez sans pitié. Avec les plaisanteries des hommes de [From.GetFirstName] dans vos oreilles, votre adversaire vous désorganise facilement. "Je capitule!" tu pleures.;Eine Latte steigt auf dem Schlachtfeld, als dein Schwert trifft [From.GetFirstName] 's und die in der Nähe kämpfen stoppen zu beobachten. Die Kämpfe sind heftig, und für eine Weile sind Sie sogar, beide handeln Schläge und halten Sie Ihren Boden. Aber wenn du eine Schwäche in deiner Verteidigung wirst, verlängert dein Gegner fachmännisch. Gefangener Abschied, du ziehst zurück, aber wir sind gnadenlos gedrückt. Mit dem Juckreiz von [From.GetFirstName] 's Männer in deinen Ohren, dein Gegner entwaffnet dich leicht. "Ich gebe nach!" Du weinst;;Una lula desciende en el campo de batalla como su espada se encuentra con [From.GetFirstName] y los que están cerca de la lucha para ver. La pelea es feroz, y durante un tiempo estás en equilibrio, tanto por los golpes comerciales como por mantener tu terreno. Pero detectando una debilidad en su defensa, su oponente se agarra expertamente. Atrapados offguard, se retiran, pero se presionan sin piedad. Con los burlones de los hombres de [From.GetFirstName] en tus oídos, tu oponente te desarma fácilmente. -¡Me rindo! lloras.;;;;;;;;;x
